"ID","CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
47896,21205509,27,"2024 Jan 17 01:00:00 AM","44,12675","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47897,21205512,27,"2024 Jan 17 02:00:00 PM","66,36974","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47898,21205509,27,"2024 Jan 17 05:00:00 AM","50,83786","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47899,21205512,27,"2024 Jan 17 01:00:00 AM","45,84208","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47900,21205512,27,"2024 Jan 17 10:00:00 AM","61,42092","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47901,21205509,27,"2024 Jan 17 03:00:00 AM","52,81098","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47902,21205512,27,"2024 Jan 17 09:00:00 PM","93,74077","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47903,21205523,27,"2024 Jan 17 04:00:00 AM","81,19244","UNIVERSIDAD SANTO TOMÁS","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,78815722","-74,05005889","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47904,21205509,27,"2024 Jan 17 09:00:00 PM","93,72643","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47905,35025502,27,"2024 Jan 17 02:00:00 PM","67,64365","LA ESMERALDA-","BOGOTÁ","BOGOTA D.C","META","4,55966194","-73,99972222","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47906,21205512,27,"2024 Jan 17 05:00:00 AM","44,86136","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47907,35025502,27,"2024 Jan 17 04:00:00 AM","47,21765","LA ESMERALDA-","BOGOTÁ","BOGOTA D.C","META","4,55966194","-73,99972222","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47908,21205523,27,"2024 Jan 17 02:00:00 PM","43,52586","UNIVERSIDAD SANTO TOMÁS","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,78815722","-74,05005889","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
